205,497
204,498
204,499
203,500
203,503
205,505
213,505
214,504
216,504
217,503
219,503
220,502
220,500
219,500
218,499
217,499
216,498
215,498
214,497

94,496
93,497
91,497
90,498
86,498
85,499
84,499
81,502
81,505
82,506
82,507
84,509
100,509
101,508
102,508
102,507
103,506
103,501
102,500
102,499
100,497
98,497
97,496

119,392
118,393
117,393
114,396
114,407
115,408
115,410
116,411
116,412
118,414
119,414
120,415
123,415
124,414
125,414
127,412
127,403
126,402
126,398
125,397
125,395
123,393
122,393
121,392

487,350
486,351
485,351
481,355
481,363
482,364
482,365
483,366
483,367
484,368
484,369
485,370
485,371
486,372
486,373
487,374
487,375
493,381
495,381
496,382
497,381
500,381
502,379
503,379
506,376
506,374
507,373
507,372
506,371
506,369
505,368
505,367
504,366
504,365
501,362
501,361
500,360
500,359
499,358
499,357
494,352
494,351
493,350

80,164
79,165
74,165
73,166
72,166
70,168
70,180
71,181
71,186
72,187
72,205
73,206
73,208
74,209
74,210
75,211
76,211
77,212
84,212
85,211
88,211
89,210
91,210
92,209
93,209
95,207
95,194
94,193
94,187
93,186
93,176
92,175
92,172
91,171
91,167
88,164

448,35
447,36
445,36
442,39
442,40
441,41
441,46
440,47
440,51
441,52
441,53
443,55
445,55
446,56
450,56
451,57
458,57
459,58
463,58
464,59
470,59
471,60
476,60
477,59
479,59
480,58
481,58
481,57
483,55
483,51
484,50
484,43
483,42
483,41
482,40
481,40
480,39
477,39
476,38
471,38
470,37
465,37
464,36
454,36
453,35

