150,77
149,78
148,78
147,79
146,79
145,80
144,80
144,81
143,82
143,84
142,85
142,86
141,87
141,89
142,90
142,91
143,92
143,94
144,95
144,96
147,99
147,100
149,102
149,103
151,105
151,106
154,109
154,110
156,112
157,112
158,113
160,113
162,115
169,115
172,112
172,102
171,101
171,100
170,99
170,98
169,97
169,96
167,94
167,93
165,91
165,89
163,87
163,86
161,84
161,83
159,81
159,80
158,80
157,79
155,79
154,78
153,78
152,77

189,61
188,62
187,62
186,63
185,63
184,64
183,64
180,67
179,67
177,69
176,69
175,70
175,71
174,72
175,73
175,74
176,75
176,76
177,77
177,78
178,79
178,80
179,81
179,82
185,88
185,89
186,90
186,91
189,94
189,95
191,97
191,98
192,99
192,100
197,105
199,105
200,104
201,104
202,103
203,103
206,100
207,100
209,98
211,98
214,95
215,95
217,93
217,91
216,90
216,87
215,86
214,86
213,85
211,85
210,86
208,86
203,81
203,79
202,78
202,77
201,76
201,75
199,73
199,72
197,70
197,69
196,68
196,67
194,65
194,64
192,62
191,62
190,61

