241,469
241,470
240,471
240,472
241,473
241,474
243,476
244,476
246,478
253,478
253,472
252,471
251,471
250,470
249,470
248,469

168,141
167,142
164,142
159,147
159,148
158,149
158,156
157,157
158,158
158,161
159,162
159,163
160,164
160,165
161,165
163,167
164,167
165,168
166,168
167,169
170,169
171,170
172,170
173,169
176,169
177,168
178,168
180,166
180,159
181,158
181,152
182,151
181,150
181,147
180,146
180,145
179,144
178,144
177,143
176,143
175,142
171,142
170,141
169,142

293,110
292,111
290,111
288,113
288,114
287,115
287,116
286,117
286,125
287,125
288,126
289,126
290,127
292,127
293,128
297,128
298,129
311,129
312,128
313,128
314,127
315,127
316,126
318,126
319,125
319,124
320,123
320,118
317,115
316,115
315,114
314,114
313,113
312,113
310,111
308,111
307,110

202,55
201,56
200,56
199,57
199,58
198,59
198,61
197,62
197,64
196,65
196,70
195,71
195,80
194,81
194,86
193,87
193,91
194,92
194,95
196,97
198,97
199,98
204,98
205,99
206,99
207,98
209,98
212,95
212,91
213,90
213,86
214,85
214,78
215,77
215,72
216,71
216,65
217,64
217,61
216,60
216,59
214,57
213,57
212,56
209,56
208,55

303,40
302,41
301,41
299,43
299,44
298,45
298,47
297,48
297,50
296,51
296,52
295,53
295,55
294,56
294,58
293,59
293,66
294,67
295,67
296,68
298,68
299,69
304,69
305,70
310,70
311,71
317,71
318,72
324,72
325,73
328,73
329,74
341,74
342,73
343,73
347,69
347,68
348,67
348,64
349,63
349,58
350,57
349,56
349,53
348,52
348,51
347,50
347,49
344,46
343,46
342,45
340,45
339,44
329,44
328,45
317,45
316,44
314,44
313,43
312,43
311,42
310,42
309,41
308,41
307,40

